"ServiceKey","ModuleKey","ModuleNameAr","ServiceNameAr","OriginalHref","OriginalUrl","OriginalFields","OriginalActions","OriginalStates","OriginalValidations","OriginalTables","OriginalFilters","OriginalExports","OriginalPermissions","LocalRoute","LocalApi","LocalEntity","Migration","LocalService","CatalogStatus","ParityStatus","EvidenceSource","EvidenceCapturedAt","TestCoverage","AcceptanceChecklist"
"executive-supervision.corporate_docs","executive-supervision","الإدارة الإشرافية و التنفيذية","خارطة الملفات المؤسسية","corporate_docs.php","https://www.sarh.org.sa/rafed/corporate_docs.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.corporate_docs","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.foundation_helper","executive-supervision","الإدارة الإشرافية و التنفيذية","اسأل مساعد التأسيس الذكي","foundation_helper.php","https://www.sarh.org.sa/rafed/foundation_helper.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.foundation_helper","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.request_credit","executive-supervision","الإدارة الإشرافية و التنفيذية","إدارة رصيد لجنة المساعدات","request_credit.php","https://www.sarh.org.sa/rafed/request_credit.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.request_credit","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.request_forms","executive-supervision","الإدارة الإشرافية و التنفيذية","نماذج قرارات لجنة المساعدات","request_forms.php","https://www.sarh.org.sa/rafed/request_forms.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.request_forms","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.approval_expenses_tameed","executive-supervision","الإدارة الإشرافية و التنفيذية","اعتماد تعميدات الصرف","approval_expenses_tameed.php","https://www.sarh.org.sa/rafed/approval_expenses_tameed.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.approval_expenses_tameed","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.approval_expenses_kafala","executive-supervision","الإدارة الإشرافية و التنفيذية","اعتماد صرف الكفالات","approval_expenses_kafala.php","https://www.sarh.org.sa/rafed/approval_expenses_kafala.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.approval_expenses_kafala","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.approval_expenses_order","executive-supervision","الإدارة الإشرافية و التنفيذية","اعتماد اوامر الصرف","approval_expenses_order.php","https://www.sarh.org.sa/rafed/approval_expenses_order.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.approval_expenses_order","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.forms_coupons","executive-supervision","الإدارة الإشرافية و التنفيذية","اعتماد القسائم الشرائية","forms_coupons.php","https://www.sarh.org.sa/rafed/forms_coupons.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.forms_coupons","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.forms_employee","executive-supervision","الإدارة الإشرافية و التنفيذية","طلبات التوظيف","forms_employee.php","https://www.sarh.org.sa/rafed/forms_employee.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.forms_employee","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.forms_purchase","executive-supervision","الإدارة الإشرافية و التنفيذية","طلبات الشراء","forms_purchase.php","https://www.sarh.org.sa/rafed/forms_purchase.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.forms_purchase","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
